source_reference_short,chemical_name,medium,subcategory,location,country_or_region,sampling_year_or_period,time_period_group,min_concentration,max_concentration,mean_concentration,median_concentration,concentration_unit,notes
"Zhang, 2018",TFA,air,gas and particles,China (Beijing),China,2014-2015,post_2010,,,1712,,pg/m3,
"Zhang, 2018",TFA,air,gas and particles,China (Beijing),China,2015-2016,post_2010,,,1162,,pg/m3,
"Berg, 2000",TFA,drinking water,,Switzerland,Switzerland,1996-1997,pre_2010,16,123,71,,ng/L,
"Zhang, 2018",TFA,air,gas and particles,China (Beijing),China,2013-2016,post_2010,283,6317,,,pg/m3,
"Zhang, 2005",TFA,drinking water,,China (Beijing),China,2001,pre_2010,72,74,73,,ng/L,
"Xie, 2020",TFA,air,gas and particles,China,China,2016,post_2010,892,6816,3684.9,,pg/m3,
"Berg, 2000",TFA,waste water,,Switzerland,Switzerland,1996-1997,pre_2010,90,600,230,,ng/L,
"EURL-SRM – Residue Findings Report, 2017",TFA,plants,,Germany (different origin),Germany,"2016, 2017",post_2010,,48000,,,ng/gdw,
"Berg, 2000",TFA,waste water,,Switzerland,Switzerland,1996-1997,pre_2010,<100,206000,47300,,ng/L,reported as <100
"Chen, 2018",TFA,plants,,China (Fuxin),China,2016,post_2010,3900,3800000,448062.5,,ng/gdw,
"Zhang, 2005",TFA,waste water,,China,China,2001,pre_2010,93.6,93.6,93.6,,ng/L,
"Tian, 2018",TFA,plants,,China,China,2016,post_2010,560,3000,,,ng/gdw,
"Lan, 2020",TFA,plants,,"China (northern, Beijing-Tianjin-Hebei)",China,"2016, 2017",post_2010,276,717,533,,ng/gdw,multiple years
"Lan, 2020",TFA,plants,,"China (northern, Beijing-Tianjin-Hebei)",China,"2016, 2017",post_2010,274,748,516.8,,ng/gdw,multiple years
"Jordan and Frank, 1999",TFA,air,gas and particles,Germany,Germany,1995-1996,pre_2010,10,125,44,,pg/m3,
"Lan, 2020",TFA,plants,,"China (northern, Beijing-Tianjin-Hebei)",China,"2016, 2017",post_2010,11.8,149,74.8,,ng/gdw,multiple years
"Martin, 2003",TFA,air,gas and particles,Canada,Canada,2000,pre_2010,,,760,,pg/m3,
"Lan, 2020",TFA,plants,,"China (northern, Beijing-Tianjin-Hebei)",China,"2016, 2017",post_2010,15.8,102,62.1,,ng/gdw,multiple years
"Freeling, 2022",TFA,plants,,Germany,Germany,2019,post_2010,,,312,,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,2020,post_2010,,,1060,,ng/gdw,
"Cahill, 2001",TFA,plants,,"Califonia, USA",USA,1998,pre_2010,,,,33,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,2020,post_2010,,,538,,ng/gdw,
"Cahill, 2001",TFA,plants,,"Califonia, USA",USA,1998,pre_2010,,,,279,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,2018,post_2010,,,453,,ng/gdw,
"Scott, 2005",TFA,plants,,Canada (Alberta),Canada,2000,pre_2010,,893.6,161.7,,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,1989,post_2010,,,24.6,,ng/gdw,
"Scott, 2005",TFA,plants,,UK,UK,1999,pre_2010,42.6,110.64,72.34,,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,1991,post_2010,,,156,,ng/gdw,
