row_id,record_id,title,original_doi,resolved_doi,doi_source,download_target,download_status,download_attempted,download_dir,pdf_count,primary_pdf,primary_pdf_pages,one_page_pdf,all_pdfs,url_candidates,notes
DOI0764,REF0617,"Health Canada (2019). Guidelines for Canadian Drinking Water Quality—Summary Table. Water and Air Quality Bureau, Healthy Environments and Consumer Safety Branch, Health Canada, Ottawa, Ontario",,,,,no_resolved_doi,no,,0,,,,,https://www.canada.ca/content/dam/hc-sc/migration/hc-sc/ewh-semt/alt_formats/pdf/pubs/water-eau/sum_guide-res_recom/sum_guide-res_recom-eng.pdf; https://tinyurl.com/ymu7jwmy,No DOI available for auto-paper-harvester API download.
DOI0765,REF0618,"Drinking water specifications CES 58, Compulsory Ethiopian Standard, 1st edition 2013",,,,,no_resolved_doi,no,,0,,,,,https://www.cmpethiopia.org/media/ethiopian_drinking_water_quality_standard_2013; https://tinyurl.com/ekbvjdsx,No DOI available for auto-paper-harvester API download.
DOI0766,REF0619,"[Amendment of the Sanitary Provision common ministerial decision Y2/2600/2001 ""Quality of water intended for human consumption"", in compliance with Directive 98/83/EC of the Council of the European Union of 3 November 1998] Τροποποίηση της Υγειονομικής Διάταξης κοινής υπουργικής απόφασης Υ2/2600/2001 «Ποιότητα του νερού ανθρώπινης κατανάλωσης», σε συμμόρφωση προς την οδηγία 98/83/ΕΚ του Συμβουλίου της Ευρωπαϊκής Ένωσης της 3ης Νοεμβρίου 1998",,,,,no_resolved_doi,no,,0,,,,,https://www.elinyae.gr/sites/default/files/2019-07/630b_07.1178194061365.pdf; https://tinyurl.com/ycxur84x,No DOI available for auto-paper-harvester API download.
DOI0767,REF0620,National Primary Drinking Water Regulations,,,,,no_resolved_doi,no,,0,,,,,https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations; https://tinyurl.com/482kwxxz; https://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=P100C8XW.txt,No DOI available for auto-paper-harvester API download.
DOI0768,REF0621,"Water and Wastewater Quality Monitoring Guidelines for Water Utilities December, 2014",,,,,no_resolved_doi,no,,0,,,,,https://www.ewura.go.tz/wp-content/uploads/2020/06/Water-and-Wastewater-Quality-Monitoring-Guidelines-2020.pdf; https://tinyurl.com/2v897j4u,No DOI available for auto-paper-harvester API download.
DOI0769,REF0622,Philippine National Standards for Drinking Water 2017,,,,,no_resolved_doi,no,,0,,,,,https://www.fda.gov.ph/wp-content/uploads/2021/08/Administrative-Order-No.-2017-0010.pdf; https://tinyurl.com/y722hjpz; http://server2.denr.gov.ph/uploads/rmdd/dao-2016-08.pdf,No DOI available for auto-paper-harvester API download.
DOI0770,REF0623,[DFI order on drinking water and water from bathing and shower facilities accessible to the public] Ordonnance du DFI sur l'eau potable et l'eau des installations de baignade et de douche accessible au public,,,,,no_resolved_doi,no,,0,,,,,https://www.fedlex.admin.ch/eli/cc/2017/153/fr#art_12; https://tinyurl.com/2p92rfh8,No DOI available for auto-paper-harvester API download.
DOI0771,REF0624,[Decree of the Ministry of Health on the quality requirements for drinking water 19.5.2000/461] Terveysministeriön asetus talousveden laatuvaatimuksista 19.5.2000/461,,,,,no_resolved_doi,no,,0,,,,,https://www.finlex.fi/fi/laki/alkup/2000/20000461; https://tinyurl.com/4yn8zebd; http://extwprlegs1.fao.org/docs/pdf/fin12016.pdf; http://www.samk.fi/wp-content/uploads/2016/06/Summary-report-ed1.pdf,No DOI available for auto-paper-harvester API download.
DOI0772,REF0625,"Public Health Regulations (Sanitary Quality of Drinking Water And Drinking Water Facilities), 2013",,,,,no_resolved_doi,no,,0,,,,,https://www.gov.il/he/Departments/legalInfo/briut47; https://tinyurl.com/2ek2zajm; https://www.health.gov.il/Subjects/Environmental_Health/drinking_water/Documents/Briut47-Eng.pdf,No DOI available for auto-paper-harvester API download.
DOI0773,REF0626,GSO 149/2021. Gulf Technical Regulation.Unbottled drinking water.,,,,,no_resolved_doi,no,,0,,,,,https://www.gso.org.sa/store/standards/GSO:781296/GSO%20149:2021?lang=en; https://tinyurl.com/3uhamjjb; http://www.thewatertreatments.com/water-treatment-news/water-quality-standards-saso-saudi/,No DOI available for auto-paper-harvester API download.
DOI0774,REF0627,"Norma Regional de Calidad del Agua. Comite Coordinador Regional de Instituciones de Agua Potable y Saneamiento de Centroamerica, Panama y Republica Dominicana – Capre 1994",,,,,no_resolved_doi,no,,0,,,,,https://www.ipsa.gob.ni/Portals/0/1%20Inocuidad%20Alimentaria/Normativas%20Generales/ACTUALIZACION%20051217/Secci%C3%B3n%20Inocuidad%20L%C3%A1cteos/Normas%20CAPRE.pdf.pdf; https://tinyurl.com/2c5bxurv,No DOI available for auto-paper-harvester API download.
DOI0775,REF0628,STATUTORY INSTRUMENTS. S.I. No. 122 of 2014. EUROPEAN UNION (DRINKING WATER) REGULATIONS 2014,,,,,no_resolved_doi,no,,0,,,,,https://www.irishstatutebook.ie/eli/2014/si/122/made/en/pdf; https://tinyurl.com/4sy7j5uz,No DOI available for auto-paper-harvester API download.
DOI0776,REF0629,Management of Drinking-water Act 2008,,,,,no_resolved_doi,no,,0,,,,,https://www.iwa-network.org/filemanager-uploads/WQ_Compendium/Database/Future_analysis/071.pdf; https://tinyurl.com/3feu7cus; http://extwprlegs1.fao.org/docs/pdf/kor113264.pdf; http://www.iwa-network.org/filemanager-uploads/WQ_Compendium/Database/Future_analysis/071.pdf,No DOI available for auto-paper-harvester API download.
DOI0777,REF0630,"[Order of 11 January 2007 on the quality limits and references of raw water and water intended for human consumption mentioned in Articles R. 1321-2, R. 1321-3, R. 1321-7 and R. 1321-38 of the Public Health Code] Arrêté du 11 janvier 2007 relatif aux limites et références de qualité des eaux brutes et des eaux destinées à la consommation humaine mentionnées aux articles R. 1321-2, R. 1321-3, R. 1321-7 et R. 1321-38 du code de la santé publique",,,,,no_resolved_doi,no,,0,,,,,https://www.legifrance.gouv.fr/jo_pdf.do?id=JORFTEXT000000465574; https://tinyurl.com/46xvfjxv,No DOI available for auto-paper-harvester API download.
DOI0778,REF0631,The Water Supply (Water Quality) Regulations 2018. 2018 No. 647 (W. 121),,,,,no_resolved_doi,no,,0,,,,,https://www.legislation.gov.uk/wsi/2018/647/contents/made; https://tinyurl.com/ywx4tyxh,No DOI available for auto-paper-harvester API download.
DOI0779,REF0632,[Regulations on changes in the Swedish Food Agency regulations (SLVFS 2001:30) on drinking water] Föreskrifter om ändring i Livsmedelsverkets föreskrifter (SLVFS 2001:30) om dricksvatten,,,,,no_resolved_doi,no,,0,,,,,https://www.livsmedelsverket.se/globalassets/om-oss/lagstiftning/dricksvatten---naturl-mineralv---kallv/livsfs-2015-3.pdf; https://tinyurl.com/yc6vd72b,No DOI available for auto-paper-harvester API download.
DOI0780,REF0633,Drinking-water Standards for New Zealand 2005 (Revised 2008),,,,,no_resolved_doi,no,,0,,,,,https://www.moh.govt.nz/notebook/nbbooks.nsf/0/B9917ABBB22BE387CC2583B2007928FE/$file/dwsnz-2005-revised-mar2019.pdf; https://tinyurl.com/5cwnw7sm,No DOI available for auto-paper-harvester API download.
DOI0781,REF0634,Environmental public health (quality of piped drinking water) regulations 2008,,,,,no_resolved_doi,no,,0,,,,,https://www.nea.gov.sg/docs/default-source/our-services/environmental-public-health-(quality-of-piped-drinking-water)-regulations-(210-kb).pdf; https://tinyurl.com/5ytxc4u8; http://www.nea.gov.sg/docs/default-source/public-health/code-of-practice-on-piped-drinking-water-sampling-and-safety-plans.pdf?sfvrsn=2,No DOI available for auto-paper-harvester API download.
DOI0782,REF0635,"Australian Drinking Water Guidelines 6 2011, Version 3.8 Updated September 2022",10.26782/jmcms.spl.10/2020.06.00048,10.26782/jmcms.spl.10/2020.06.00048,original,https://doi.org/10.26782/jmcms.spl.10/2020.06.00048,not_downloaded,yes,/mnt/d/paper_data/pdf/Water/harvester_downloads/10.26782_jmcms.spl.10_2020.06.00048,0,,,,,https://www.nhmrc.gov.au/about-us/publications/australian-drinking-water-guidelines#block-views-block-file-attachments-content-block-1; https://tinyurl.com/mr3jhvyb; http://pandora.nla.gov.au/pan/130652/20111205-1026/www.nhmrc.gov.au/_files_nhmrc/publications/attachments/eh52_aust_drinking_water_guidelines.pdf,Downloader produced no success/failure entry for this DOI.
DOI0783,REF0636,Norma Técnica Ecuatoriana NTE INEN 1 108:2011Agua Potable Requisitos. Quinta revision 2014,,,,,no_resolved_doi,no,,0,,,,,https://www.normalizacion.gob.ec/buzon/normas/nte_inen_1108-5.pdf; https://tinyurl.com/y3yr4dfc,No DOI available for auto-paper-harvester API download.
DOI0784,REF0637,"[Rulebook on the hygienic suitability of drinking water: 42/1998-4, 44/1999-19, 28/2019-114]. Правилник о хигијенској исправности воде за пиће: 42/1998-4, 44/1999-19, 28/2019-114",,,,,no_resolved_doi,no,,0,,,,,https://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/slsrj/ministarstva/pravilnik/1998/42/2/reg; https://tinyurl.com/24dhns35,No DOI available for auto-paper-harvester API download.
DOI0785,REF0638,[Drinking water quality standards currently (2010) in force in Haiti.] Normes de qualité de l’eau de boisson actuellement (2010) en vigueur en Haiti,,,,,no_resolved_doi,no,,0,,,,,https://www.pseau.org/outils/ouvrages/dinepa_normes_qualite_de_leau_haiti_fr.pdf; https://tinyurl.com/yc7w8w9e,No DOI available for auto-paper-harvester API download.
DOI0786,REF0639,"[Joint order n° 0019/MAHRH/MS of 05 April 2005.] ""Arrêté conjoint n° 0019/MAHRH/MS du 05 avril 2005.""",,,,,no_resolved_doi,no,,0,,,,,https://www.pseau.org/sites/default/files/arrete_qlte_eau_bf.pdf; https://tinyurl.com/3amr3r2u,No DOI available for auto-paper-harvester API download.
DOI0787,REF0641,[REGULATION drinking water 2001] Reglugerd um neysluvatn 2001,,,,,no_resolved_doi,no,,0,,,,,https://www.reglugerd.is/media/vidhengi/nr%20536%202001.doc; https://tinyurl.com/5xfw4p4s; http://www.stjornartidindi.is/DocumentActions.aspx?ActionType=Open&documentID=CAE835C0-0BBD-4AA8-92E3-236A9A6BD08A,No DOI available for auto-paper-harvester API download.
DOI0788,REF0642,"[Entire legal regulation for drinking water ordinance, version of 29.10.2022] ""Gesamte Rechtsvorschrift für Trinkwasserverordnung, Fassung vom 29.10.2022""",,,,,no_resolved_doi,no,,0,,,,,https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20001483; https://tinyurl.com/2p84c2n5; https://www.ris.bka.gv.at/Dokumente/BgblPdf/2001_304_2/2001_304_2.pdf,No DOI available for auto-paper-harvester API download.
DOI0789,REF0643,Normas Sanitaias de Calidad del Agua potable 1998,,,,,no_resolved_doi,no,,0,,,,,https://www.safeintl.com/descargas/NORMAS-SANITARIAS-DE-CALIDAD-DEL-AGUA-POTABLE.pdf; https://tinyurl.com/ydtkry5k,No DOI available for auto-paper-harvester API download.
DOI0790,REF0646,"Modificacion a la Norma Oficial Mexicana NOM-127-SSA1-1994, Salud ambiental: Agua para uso y consumo humano. Límites permisibles de calidad y tratamientos a que debe someterse el agua para su potabilización 2000",,,,,no_resolved_doi,no,,0,,,,,https://www.ucol.mx/content/cms/13/file/NOM/Nom-127-ssa1-1994.pdf; https://tinyurl.com/yc5vhtp6; http://www.bvsde.paho.org/legislacion/mexico/nom-127-ssai.pdf,No DOI available for auto-paper-harvester API download.
DOI0791,REF0647,"Technical Regulation. Water-Drinking water- Standard specification no. 286/2015. JS 286:20185, Sixth Edition.",,,,,no_resolved_doi,no,,0,,,,,https://www.unhcr.org/jo/wp-content/uploads/sites/60/2019/08/Annex-A-1-Technical-Regulation-of-Jordan-Standards-and-Metrology-Organization.pdf; https://tinyurl.com/tucrxt2j,No DOI available for auto-paper-harvester API download.
DOI0792,REF0648,Minister’s Decision on Water Quality Standard Management for Drinking Water and Domestic Use. No. 561/MOH (2014),,,,,no_resolved_doi,no,,0,,,,,https://www.wepa-db.net/policies/law/laos/standards.htm#01,No DOI available for auto-paper-harvester API download.
DOI0793,REF0649,Potable Water - Specification. Rwanda Standard RS435:2009 Rev 1:2011,,,,,no_resolved_doi,no,,0,,,,,https://www.who.int/publications/i/item/9789240023642,No DOI available for auto-paper-harvester API download.
DOI0794,REF0650,Guidelines for Drinking-water Quality. World Health Organization 2011,,,,,no_resolved_doi,no,,0,,,,,https://www.who.int/publications/i/item/9789240045064; https://tinyurl.com/4av462b7,No DOI available for auto-paper-harvester API download.
DOI0795,REF0651,National Standards for Drinking Water Quality,,,,,no_resolved_doi,no,,0,,,,,https://www.yumpu.com/en/document/view/50464722/national-standards-for-drinking-water-quality-pakistan-; https://tinyurl.com/yc2y8452; http://environment.gov.pk/NEQS/SRO-2010-NEQS%20Air-Water-Noise.pdf,No DOI available for auto-paper-harvester API download.
DOI0796,REF0652,Water Research 2023 - THM global assessment,,,,,no_resolved_doi,no,,0,,,,,,No DOI available for auto-paper-harvester API download.
